Generations,Time,Distance,Route
100000,437,13046.097892949227,https://autarc.github.io/traveling-salesman-problem/#31-84-88-16-83-68-71-18-62-15-63-86-97-69-90-91-64-46-50-73-54-38-70-72-17-74-20-78-4-32-26-9-12-14-87-85-82-21-75-99-53-79-27-92-33-10-6-95-77-59-94-36-81-80-48-30-5-22-41-34-7-43-25-24-42-40-55-39-96-29-35-2-89-19-56-98-66-76-28-37-93-58-23-44-100-11-61-65-51-8-60-1-67-13-49-3-47-57-52-45
100000,427,14432.532354941934,https://autarc.github.io/traveling-salesman-problem/#65-48-30-41-34-22-81-80-91-97-86-63-15-60-8-69-95-59-77-93-37-28-94-57-39-96-100-44-23-35-29-55-25-43-24-36-78-20-74-54-19-73-50-92-9-12-85-82-33-10-17-38-70-72-26-32-4-75-49-13-3-99-47-53-6-79-27-46-56-98-31-66-76-58-89-2-40-42-7-52-45-84-88-16-11-61-5-64-67-21-14-87-62-18-1-71-68-83-51-90
100000,440,13678.467795248753,https://autarc.github.io/traveling-salesman-problem/#19-46-56-6-53-47-57-94-95-77-93-59-98-45-100-55-25-43-24-79-54-38-70-72-17-92-74-26-20-78-33-3-34-7-42-40-52-16-66-76-58-88-84-89-2-23-31-44-35-29-96-39-11-67-85-12-9-32-4-75-21-82-14-87-62-18-1-60-71-68-83-51-90-69-8-15-63-97-86-73-50-27-10-49-13-64-36-61-5-41-22-81-80-30-48-65-91-99-28-37
100000,757,13737.648684665326,https://autarc.github.io/traveling-salesman-problem/#21-49-3-23-2-89-58-76-93-38-70-72-17-27-79-99-47-39-96-100-53-73-54-19-37-59-16-45-52-36-64-13-67-97-86-63-15-8-69-65-80-81-11-44-35-29-55-40-34-61-5-41-22-48-30-24-25-43-42-7-94-95-77-28-56-46-50-92-82-85-14-12-78-20-74-26-9-87-62-18-1-60-71-68-83-51-90-91-57-98-66-88-84-31-6-10-33-32-4-75
100000,434,13819.640012472137,https://autarc.github.io/traveling-salesman-problem/#25-43-42-11-36-52-100-39-55-96-29-35-44-45-53-6-94-98-76-59-93-77-95-79-33-20-74-26-9-4-61-34-40-7-41-30-48-80-81-5-64-3-10-27-56-73-54-38-70-72-17-14-87-62-18-1-71-68-8-60-15-63-47-16-31-84-88-66-99-75-21-49-91-65-83-51-90-69-67-13-57-23-2-89-58-28-37-19-46-50-92-78-32-12-85-82-86-97-22-24
100000,434,16761.60730107441,https://autarc.github.io/traveling-salesman-problem/#17-38-54-19-37-76-66-98-86-62-18-87-14-85-61-34-7-41-30-48-80-81-31-84-88-58-93-70-72-74-20-78-73-50-46-56-28-16-39-96-55-11-64-49-75-82-21-1-60-71-68-83-51-91-47-77-59-95-57-5-22-65-69-63-97-36-100-44-52-13-67-15-8-90-24-25-43-42-40-23-89-2-35-29-45-94-27-92-33-10-79-6-53-99-3-4-32-12-9-26
100000,770,15377.033456024907,https://autarc.github.io/traveling-salesman-problem/#53-94-66-88-84-31-52-61-34-41-22-5-64-49-4-32-9-26-74-20-23-2-89-58-76-93-77-28-37-19-54-38-73-50-46-56-35-29-44-6-79-10-33-99-47-57-45-16-98-59-95-7-40-43-25-24-42-21-14-87-62-18-71-68-83-51-65-90-63-97-86-85-12-82-75-36-11-55-96-39-100-27-92-70-72-17-78-80-48-30-81-91-67-15-1-60-8-69-13-3
1000000,7576,15090.562228327934,https://autarc.github.io/traveling-salesman-problem/#58-89-2-23-31-27-92-38-54-73-50-46-100-96-39-80-65-51-90-97-63-15-1-60-8-69-91-52-44-29-35-84-88-98-79-10-33-62-18-87-14-85-12-9-26-32-49-13-64-57-45-16-53-20-17-70-72-74-78-71-68-83-48-30-22-5-36-47-94-95-59-77-6-99-3-4-82-75-21-86-67-81-41-40-55-25-43-24-42-7-34-61-11-66-76-28-37-56-19-93
1000000,7625,14085.719636679602,https://autarc.github.io/traveling-salesman-problem/#92-20-78-4-49-86-15-63-97-67-98-76-58-88-84-89-2-23-35-29-45-16-74-26-9-32-64-34-7-40-55-96-39-5-83-51-90-8-60-1-69-13-3-99-53-79-56-73-17-72-70-38-54-19-93-77-59-66-31-61-22-41-24-25-43-42-94-95-28-37-6-47-36-11-100-44-52-57-82-85-12-14-91-65-80-81-30-48-68-71-18-62-87-21-75-33-10-27-46-50
1000000,7587,14510.894770906416,https://autarc.github.io/traveling-salesman-problem/#73-92-81-80-65-83-51-90-91-31-89-2-23-35-29-100-13-67-49-75-78-27-37-93-77-28-20-74-26-9-32-4-82-21-86-63-97-3-66-84-88-58-76-57-36-7-42-43-25-24-47-99-6-56-50-46-19-59-95-45-44-96-39-55-40-30-48-68-71-18-1-60-8-69-15-62-87-14-12-85-10-79-53-94-98-16-52-11-34-41-22-5-61-64-33-17-72-70-38-54
